Year,CA Rockfishes (lbs),mt,OR Rockfishes (lbs),mt,WA Rockfishes (lbs),mt
1930,,,,,24,0.0
1932,,,,,1000,0.5
1934,,,,,8313,3.8
1935,,,,,63284,28.7
1936,,,,,81301,36.9
1937,,,,,72640,32.9
1938,,,,,107163,48.6
1939,,,,,112395,51.0
1940,,,,,248711,112.8
1941,,,,,93286,42.3
1942,1414100,641.4,2276100,1032.4,1809100,820.6
1943,2759600,1251.7,7450800,3379.6,5847600,2652.4
1944,6421300,2912.7,,,2430100,1102.3
1945,13286400,6026.6,17504400,7939.9,25468300,11552.2
1946,11173300,5068.1,10981900,4981.3,12838700,5823.5
1947,8498600,3854.9,6821500,3094.2,6706900,3042.2
1948,6507200,2951.6,4694500,2129.4,10891000,4940.1
1949,5937600,2693.3,4774000,2165.5,13246000,6008.3
1950,"8,110,300",3678.8,5723900,2596.3,12729100,5773.8
1951,"10,992,100",4985.9,3695500,1676.3,10649500,4830.5
1952,"10,720,200",4862.6,3783500,1716.2,10156400,4606.9
1953,"12,221,000",5543.4,3024000,1371.7,4404000,1997.6
1954,12641000,5733.9,3803000,1725.0,6317000,2865.3
1955,12682000,5752.5,3999000,1813.9,5961000,2703.9
1957,15921000,7221.7,7043000,3194.7,4711000,2136.9
1958,17843000,8093.5,5416000,2456.7,5964000,2705.2
1959,15282000,6931.8,5949000,2698.4,6667000,3024.1
1960,13714000,6220.6,7538000,3419.2,6029000,2734.7
1961,10831000,4912.9,6872000,3117.1,7157000,3246.4
1962,9834000,4460.6,8008000,3632.4,9972000,4523.2
1963,11749000,5329.3,5162000,2341.4,8028000,3641.4
1964,8118000,3682.3,5179000,2349.2,5926000,2688.0
